Dataset,"#TrainingRelease",%Training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Sampling,FeatureSelection,TP,FP,TN,FN,FPRate,TNRate,FNRate,Precision,Recall,ROCArea,Kappa
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,noSampling,No,33.0,17.0,218.0,40.0,0.07234042553191489,0.9276595744680851,0.547945205479452,0.66,0.4520547945205479,0.8086855144272806,0.4259743656814022
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,noSampling,Yes,38.0,34.0,201.0,35.0,0.14468085106382977,0.8553191489361702,0.4794520547945205,0.5277777777777778,0.5205479452054794,0.8341299912561936,0.3776502284174768
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,underSampling,No,32.0,17.0,218.0,41.0,0.07234042553191489,0.9276595744680851,0.5616438356164384,0.6530612244897959,0.4383561643835616,0.8048090935587292,0.4127933732167511
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,underSampling,Yes,42.0,34.0,201.0,31.0,0.14468085106382977,0.8553191489361702,0.4246575342465753,0.5526315789473685,0.5753424657534246,0.8298163800641213,0.4246465110932292
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,overSampling,No,34.0,20.0,215.0,39.0,0.0851063829787234,0.9148936170212766,0.5342465753424658,0.6296296296296297,0.4657534246575342,0.7912270475080152,0.4181608606557376
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,overSampling,Yes,41.0,34.0,201.0,32.0,0.14468085106382977,0.8553191489361702,0.4383561643835616,0.5466666666666666,0.5616438356164384,0.8178373651996502,0.4130623087139805
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,smote,No,36.0,25.0,210.0,37.0,0.10638297872340426,0.8936170212765957,0.5068493150684932,0.5901639344262295,0.4931506849315068,0.8029728941999417,0.40999814620280545
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,NaiveBayes,smote,Yes,40.0,41.0,194.0,33.0,0.17446808510638298,0.825531914893617,0.4520547945205479,0.49382716049382713,0.547945205479452,0.8326143981346547,0.35988316575858
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,noSampling,No,58.0,58.0,177.0,15.0,0.24680851063829787,0.7531914893617021,0.2054794520547945,0.5,0.7945205479452054,0.8470125327892742,0.45527667409632716
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,noSampling,Yes,59.0,54.0,181.0,14.0,0.2297872340425532,0.7702127659574468,0.1917808219178082,0.5221238938053098,0.8082191780821918,0.8304575925386185,0.48654081882814426
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,underSampling,No,67.0,67.0,168.0,6.0,0.2851063829787234,0.7148936170212766,0.0821917808219178,0.5,0.9178082191780822,0.8377440979306324,0.4912201303403331
BOOKKEEPER,1,6.816245384833854,42.083333333333336,23.7012987012987,RandomForest,underSampling,Yes,66.0,66.0,169.0,7.0,0.28085106382978725,0.7191489361702128,0.0958904109589041,0.5,0.9041095890410958,0.8143398426114835,0.48746238716148443
