TicketID,OpeningVersion,FixedVersion,InjectedVersion
BOOKKEEPER-139,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-138,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-134,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-131,4.0.0,4.0.0,4.0.0
BOOKKEEPER-129,4.0.0,4.0.0,4.0.0
BOOKKEEPER-128,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-127,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-125,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-124,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-119,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-118,4.0.0,4.0.0,4.0.0
BOOKKEEPER-115,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-107,4.0.0,4.0.0,4.0.0
BOOKKEEPER-106,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-100,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-94,4.0.0,4.0.0,4.0.0
BOOKKEEPER-93,4.0.0,4.0.0,4.0.0
BOOKKEEPER-92,4.0.0,4.0.0,4.0.0
BOOKKEEPER-88,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-87,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-86,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-81,4.0.0,4.0.0,4.0.0
BOOKKEEPER-80,4.0.0,4.0.0,4.0.0
BOOKKEEPER-79,4.0.0,4.0.0,4.0.0
BOOKKEEPER-71,4.0.0,4.0.0,4.0.0
BOOKKEEPER-69,4.0.0,4.0.0,4.0.0
BOOKKEEPER-68,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-66,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-65,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-63,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-62,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-61,4.0.0,4.0.0,4.0.0
BOOKKEEPER-59,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-58,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-57,4.0.0,4.0.0,4.0.0
BOOKKEEPER-53,4.0.0,4.0.0,4.0.0
BOOKKEEPER-52,4.0.0,4.0.0,4.0.0
BOOKKEEPER-51,4.0.0,4.0.0,4.0.0
BOOKKEEPER-50,4.0.0,4.0.0,4.0.0
BOOKKEEPER-43,4.0.0,4.0.0,4.0.0
BOOKKEEPER-39,4.0.0,4.0.0,4.0.0
BOOKKEEPER-38,4.0.0,4.0.0,4.0.0
BOOKKEEPER-29,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-28,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-27,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-22,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-19,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-18,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-5,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-1,4.0.0,4.0.0,4.0.0,stimato
BOOKKEEPER-288,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-287,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-286,4.1.0,4.1.0,4.1.0
BOOKKEEPER-285,4.1.0,4.1.0,4.1.0
BOOKKEEPER-281,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-279,4.1.0,4.1.0,4.0.0
BOOKKEEPER-274,4.1.0,4.1.0,4.0.0
BOOKKEEPER-273,4.1.0,4.1.0,4.1.0
BOOKKEEPER-263,4.1.0,4.1.0,4.1.0
BOOKKEEPER-260,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-258,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-245,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-242,4.1.0,4.1.0,4.0.0
BOOKKEEPER-235,4.1.0,4.1.0,4.1.0,stimato
BOOKKEEPER-234,4.1.0,4.1.0,4.1.0
BOOKKEEPER-232,4.1.0,4.1.0,4.1.0
BOOKKEEPER-231,4.1.0,4.1.0,4.1.0
BOOKKEEPER-229,4.1.0,4.1.0,4.1.0
BOOKKEEPER-217,4.1.0,4.1.0,4.1.0
BOOKKEEPER-216,4.1.0,4.1.0,4.1.0
