Version,File,NR,LOC,LOC_touched,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NAuth,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,AgeInWeeks,AgeWeighted,NFix,Bugged
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,137,347,242,137,61,137,137,34,2,475,207,119,36,22,0,no
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,5,244,436,340,252,68,244,252,49,2,476,207,95,36,27,2,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,14,1026,1466,1246,545,89,1026,545,73,3,598,207,43,36,17,5,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,3,92,150,121,81,40,92,81,31,3,405,207,135,36,25,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,180,210,195,168,49,180,168,45,2,383,207,96,36,31,2,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,9,471,795,633,487,70,471,487,52,3,551,207,61,36,23,4,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,5,204,216,210,124,42,204,124,41,3,483,207,97,36,23,1,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,7,551,691,621,536,89,551,536,79,3,548,207,78,36,29,3,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,5,149,187,168,133,34,149,133,30,3,537,207,107,36,28,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,3,157,171,164,151,55,157,151,52,3,417,207,139,36,32,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,147,147,147,147,147,147,147,147,1,207,207,207,36,36,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,5,137,387,262,126,52,137,126,27,3,407,207,81,36,20,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,4,271,289,280,249,70,271,249,68,3,412,207,103,36,32,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,9,548,1544,1046,410,116,548,410,61,3,599,207,67,36,18,1,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,6,728,1132,930,714,155,728,714,121,2,213,93,36,5,4,2,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,4,205,219,212,204,53,205,204,51,2,478,207,120,36,34,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,2,50,56,53,50,27,50,50,25,2,378,207,189,36,34,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,5,185,229,207,184,41,185,184,37,3,493,207,99,36,31,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,3,61,71,66,61,22,61,61,20,3,395,207,132,36,33,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,8,157,263,210,167,26,157,167,20,3,582,207,73,36,26,3,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,4,81,103,92,80,23,81,80,20,3,504,207,126,36,30,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,3,84,176,130,83,43,84,83,28,2,471,207,157,36,23,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,12,762,2188,1475,547,123,762,547,64,3,616,207,51,36,18,3,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,7,248,330,289,198,41,248,198,35,3,512,207,73,36,24,1,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,9,169,295,232,140,26,169,140,19,3,589,207,65,36,22,3,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,6,196,252,224,178,37,196,178,33,3,513,207,86,36,28,1,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,4,67,85,76,67,19,67,67,17,3,399,207,100,36,31,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,4,165,199,182,138,46,165,138,41,3,498,207,125,36,27,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,4,173,213,193,170,48,173,170,43,3,498,207,125,36,31,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,6,103,151,127,101,21,103,101,17,2,300,171,50,18,15,2,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1,78,78,78,78,78,78,78,78,1,27,27,27,3,3,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,2,87,89,88,87,44,87,87,44,2,378,207,189,36,35,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,2,85,87,86,85,43,85,85,43,2,378,207,189,36,35,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,2,105,107,106,61,53,105,61,53,1,72,39,36,2,2,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,4,216,232,224,216,56,216,216,54,2,45,39,11,2,2,3,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,4,377,417,397,377,99,377,377,94,2,45,39,11,2,2,3,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,2,253,257,255,251,128,253,251,127,1,37,33,19,1,1,2,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,1,193,193,193,193,193,193,193,193,1,33,33,33,1,1,1,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,1,514,514,514,514,514,514,514,514,1,33,33,33,1,1,1,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,1,204,204,204,204,204,204,204,204,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,1,144,144,144,144,144,144,144,144,1,33,33,33,1,1,1,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1,98,98,98,98,98,98,98,98,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,7,181,225,203,178,29,181,178,26,3,542,207,77,36,30,2,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,4,154,170,162,75,41,154,75,39,3,412,207,103,36,19,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,11,393,585,489,209,44,393,209,36,3,586,207,53,36,16,3,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,3,132,146,139,75,46,132,75,44,3,411,207,137,36,16,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,8,533,579,556,521,70,533,521,67,3,551,207,69,36,33,2,no
