Dataset,"#TrainingRelease",%Training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Sampling,FeatureSelection,TP,FP,TN,FN,FPRate,TNRate,FNRate,Precision,Recall,ROCArea,Kappa
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,noSampling,No,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.8713105076741441,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,noSampling,Yes,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.49755439365828974,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,underSampling,No,11.0,539.0,0.0,0.0,1.0,0.0,0.0,0.02,1.0,0.7012987012987013,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,underSampling,Yes,11.0,539.0,0.0,0.0,1.0,0.0,0.0,0.02,1.0,0.5,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,overSampling,No,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.8944172710406476,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,overSampling,Yes,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.4982290436835891,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,smote,No,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.8583234946871311,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,NaiveBayes,smote,Yes,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.4926631809748693,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,RandomForest,noSampling,No,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.9969640748861528,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,RandomForest,noSampling,Yes,0.0,0.0,539.0,11.0,0.0,1.0,1.0,0.0,0.0,0.6656265812109968,0.0
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,RandomForest,underSampling,No,9.0,4.0,535.0,2.0,0.0074211502782931356,0.9925788497217068,0.18181818181818182,0.6923076923076923,0.8181818181818182,0.9949401248102547,0.7444633730834764
SYNCOPE,1,2.5698637831765203,2.3679417122040074,2.0,RandomForest,underSampling,Yes,11.0,539.0,0.0,0.0,1.0,0.0,0.0,0.02,1.0,0.6178107606679035,0.0
