TicketID,OpeningVersion,FixedVersion,InjectedVersion
SYNCOPE-118,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-117,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-115,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-114,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-113,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-112,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-111,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-108,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-106,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-104,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-103,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-102,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-101,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-99,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-97,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-96,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-95,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-94,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-92,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-90,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-86,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-84,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-83,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-82,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-80,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-77,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-75,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-72,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-71,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-70,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
SYNCOPE-68,1.0.0-incubating,1.0.0-incubating,1.0.0-incubating
