Version,File,NR,LOC,LOC_touched,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NAuth,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,AgeInWeeks,AgeWeighted,NFix,Bugged
1,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java,1,100,100,100,100,100,100,100,100,1,1096,1096,1096,15,15,0,no
1,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java,1,258,258,258,258,258,258,258,258,1,1096,1096,1096,15,15,0,no
1,build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java,1,101,101,101,101,101,101,101,101,1,1096,1096,1096,15,15,0,no
1,build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java,1,178,178,178,178,178,178,178,178,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java,1,32,32,32,32,32,32,32,32,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/annotation/SchemaList.java,1,28,28,28,28,28,28,28,28,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java,1,45,45,45,45,45,45,45,45,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/SyncopeConstants.java,2,32,38,35,28,18,32,28,16,2,1102,1096,551,15,14,1,no
1,client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java,2,33,35,34,33,17,33,33,17,2,12,11,6,6,6,2,no
1,client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java,3,75,89,82,75,27,75,75,25,2,1108,1096,369,15,14,1,no
1,client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java,2,251,271,261,211,131,251,211,126,2,1097,1096,549,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java,1,87,87,87,87,87,87,87,87,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java,1,82,82,82,82,82,82,82,82,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java,1,45,45,45,45,45,45,45,45,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/mod/RoleMod.java,1,143,143,143,143,143,143,143,143,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/mod/UserMod.java,1,98,98,98,98,98,98,98,98,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java,1,46,46,46,46,46,46,46,46,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/report/ReportletConf.java,1,32,32,32,32,32,32,32,32,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java,1,102,102,102,102,102,102,102,102,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java,1,112,112,112,112,112,112,112,112,1,1096,1096,1096,15,15,0,no
1,client/src/main/java/org/apache/syncope/client/search/AttributeCond.java,1,85,85,85,85,85,85,85,85,1,1096,1096,1096,15,15,0,no
